,comments,dateStamp
83,"You are incredulous. These jabs are NOT vaccines in any shape or fashion. They are a DNA injection,. They do not prevent infection or give immunity.,**BETTER TO GET THE actual INFECTION AND BE IMMUNE FOE LIFE. 
You are so deluded and jaded by your big pharma worship. In other words, your videos are a huge waste of time.",2021-05-29T05:31:09Z
84,I’ve had myocarditis after a bad bout of strep throat and it’s no walk in the park  I was on strict bed for almost a month  ..and it was a while before I felt anywhere normal ...,2021-05-29T04:58:16Z
85,I certainly won't be taking this shit.,2021-05-29T04:17:54Z
86,I'll hold out for all you lab rats.,2021-05-29T04:03:24Z
87,"Still not getting the jab , I chose to loose 70 lbs instead ... only side affect is I am close shopping a lot 😁 .",2021-05-29T03:55:25Z
88,"I had CHF in 2008 caused by Pertussis getting into heart together with a mycoplasma secondary infection. Since then I had intermittent AF and often needing a cardioversion in hospital to get back to sinus rhythm. 3 cardiac ablation operations later and a fairly rigid exercise routine, which has strengthened my heart muscle I very seldom get AF. The last time was after a heavy cold which got into my chest and then heart and I required a cardioversion. I take 100mg of Flecainide and 30mg of Diltiazem morning and night to prevent it. About 2 weeks after my first AZ vaccine I got AF, or it may have been Atrial Flutter. It was very puzzling as none of the usual triggers (they are principally electromagnetic) were present. So I took my evening medication at 1.00 PM and lay down but that didn't restore sinus rhythm so at about 4.00 PM I took an extra 90 mg of Diltiazem. My heart returned to sinus rhythm about half an hour later. Good job I was sitting down because there was a sudden significant drop in blood pressure before the heart started beating normally. I haven't had any further issues but I was concerned as to why the AF happened at that time. You have now provided the reason and I shall be on the look out for a similar occurrence after I have had my second jab.",2021-05-29T02:44:11Z
89,"Well, 1/100.000 death by side effects surpasses death rate by COVID for young adults under 30. Therefore, people under 30, with no comorbidities, should not get any jab. Simple.",2021-05-29T02:39:46Z
90,"Unfortunately, it seems the US is generalizing figures that don’t support immunizations.  I don’t feel proper instructions were or are being given to vaccine recipients on how to report adverse reactions.  A lack of data certainly supports their objective.  Is there any information for those of us living with autoimmune? I am truly terrified the vaccine could trigger an immune response that might be difficult to calm. Thank you!! ☮️",2021-05-29T02:36:36Z
91,it's NOT rare when it happens to YOU!,2021-05-29T02:20:20Z
92,"My father who is 83 is now in the hospital after having a few minor strokes at home and a major stroke while at the hospital. His heart rate in the ER got as low as 43 and never higher than 57, he had no previous condition's that would have contributed to this until after he received his second Moderna shot. There is no doubt in my mind this vaccine is the cause and my family is now nervously waiting by the phone as he is in the ICU and has not improved in day's.",2021-05-29T01:58:02Z
93,I don’t think there has been any time in the history of the human race that uncertainty and fears are actually worse than dying from a virus.,2021-05-29T00:10:26Z
94,Most of the time people don't have any consequences from myocaridtis.. or covid.. the difference is 100.000.000.000 $ market.,2021-05-28T23:38:31Z
95,A month ago you commented on reports of myocarditis in Israel.  Now America - and you think it's correlation not causation?  Take a look at the rest of the world... You think those people have an energy drink habit?  Or - does the fact it usually happens 4 days after the shot tell you something?,2021-05-28T23:25:56Z
96,"My very healthy 23 year old nephew suffered a heart attack and got diagnosed with pericarditis 4 days after he vaccinated with moderna. 
He is a soldier/medical assistant at the army and since he had undergo frequent health checks he was- quote ""healthy and strong like an racehorse"" the army medical used to say.
For me personally this health issues has come with the vaccine- there's no doubt.",2021-05-28T23:20:58Z
97,After my first shot of AZ at hospital I was shown the door within 5 mins. No waiting and no advice not to exercise. Worrying given I was walking 1 mile home.  Now weary of getting 2nd shot even though I'm 59.  Questions need to be asked why there are so many reactions to these vaccines.  The level of risk might be low but why is there a risk at all?,2021-05-28T22:30:46Z
98,How about take the vaccine if you want and don't take the vaccine if you don't want to? The flu has been around forever its still here. Covid will be here LONG after we are gone.,2021-05-28T22:28:54Z
99,Needs to get a bit more radical I’m afraid,2021-05-28T22:28:53Z
100,"'Which means we've heard diddlysquat.' LOL
Here's links to the official US Guidance on aspiration followed by the relevant paragraphs.

https://www.cdc.gov/vaccines/covid-19/hcp/faq.html
No. You should not aspirate before giving any vaccine, including COVID-19 vaccines. Aspiration can increase pain because of the combined effects of a longer needle-dwelling time in the tissues and shearing action (wiggling) of the needle. A discussion of vaccine administration best practices can be found in the “Vaccine Administration” chapter of Epidemiology and Prevention of Vaccine-Preventable Diseases (Pink Book).


https://www.cdc.gov/vaccines/pubs/pinkbook/vac-admin.html
Inject Vaccines Rapidly Without Aspiration


Aspiration is not recommended before administering a vaccine. Aspiration prior to injection and injecting medication slowly are practices that have not been evaluated scientifically. Aspiration was originally recommended for theoretical safety reasons and injecting medication slowly was thought to decrease pain from sudden distention of muscle tissue. Aspiration can increase pain because of the combined effects of a longer needle-dwelling time in the tissues and shearing action (wiggling) of the needle. There are no reports of any person being injured because of failure to aspirate.

The veins and arteries within reach of a needle in the anatomic areas recommended for vaccination are too small to allow an intravenous push of vaccine without blowing out the vessel. A 2007 study from Canada compared infants’ pain response using slow injection, aspiration, and slow withdrawal with another group using rapid injection, no aspiration, and rapid withdrawal. Based on behavioral and visual pain scales, the group that received the vaccine rapidly without aspiration experienced less pain. No immediate adverse events were reported with either injection technique.",2021-05-28T20:32:07Z
101,it is clear to me that no one really knows what will happen to people who get these experimental  vaccines. I would like to know how many pharmaceutical executives have taken COVID vaccines.,2021-05-28T20:12:04Z
102,"I wonder if there is any major blood vessel in the deltoid muscle which could be punctured when administering a vaccine in the deltoid? I recently asked a young GP (fresh from the university) about this, she was definitive when she told me that this cannot happen, major blood vessels run down in the arm-pit region, so no danger to hit them with a needle in the deltoid... Also when I got my first jab (m-RNA from BioNTech) end of April in Germany, I asked the nurse whether she would aspirate first before pressing on the plunger. She just told me, no, that's not our policy... That was it! Can anybody comment on the presence of blood vessels in the deltoid which could be targeted?",2021-05-28T20:11:03Z
103,"i took the Pfizer-2nd dose, 4-days-late, of the 30-day-requirement, & always have had a 'heart murmur,' (diagnosed at age 24), one which i can now, at 64, feel upon awaking most of the time...  The four-days since my 2nd dose have had their moments, i must say:  1st day after, had a brief sense of 'not being able to breathe,' just like the 'covid,' (undiagnosed, & untreated, except for acupuncture-cupping, x2, which cleared it within 3 months after a round of full-spectrum-anti-biotic, did nothing), that i had for a full 8-months, in 2019...  & 3rd day, after 2nd-Pfizer, the heart-murmur, was much more noticeable, upon awaking...   JUST TAKE IT EASY, is all i can say.   OH, & i also, in 2019, 'magnetized,' all my filtered water, with neodymium-magnets, 24-hours in advance of drinking it...  !   lol  💜   Thanks for your informative vids, Dr. Campbell !  💜 :)   (Living Well, is the 'best revenge,' against the 'ulterior-morive,' of life...   hm-m-m  :)",2021-05-28T19:51:15Z
104,Only 6 months worth of real world data. They don't know anything about this kind of treatment other than it's been used for Cancer patients before. Has cancer been cured? No. I don't trust this mRNA method just yet. Why not stick with a dead virus like the normal flu shot every year? They know that method works and has been proven. Why switch to a new therapy with no long term data? I'll stick to eating healthy and topping up on good old natural sunlight and fresh air for now.,2021-05-28T19:43:51Z
105,#leaked wuhan human rights lawyer tells his story https://youtu.be/Zry94P8DYZQ,2021-05-28T19:39:56Z
106,"@ DJ John, MHRA web page form for reporting doesn’t let users click next. Or should I  say when I click next nothing happens… I would image a lot of side effects aren’t being reported",2021-05-28T19:36:12Z
107,An intramuscular injection of vaccine targets the muscles rich in blood vessels anyway...so bloodstream.,2021-05-28T19:24:44Z
108,"In Finland, they give a note with the vaccination, which SPEFICALLY states that exercise and sauna are fine immediately after the vaccination. In general, the opposite of what they initially say is usually true.",2021-05-28T18:13:13Z
109,Stupid to risk a 40 or 20 or 30 year old life for what ? Most people recover from covid,2021-05-28T18:09:48Z
110,I don’t get it how people down play one death ? People died from this vacc so why down play one death ?,2021-05-28T18:08:53Z
111,"It's sad when so much FACTUAL (aka DATA) is being hidden from us. You have to hunt down information. It should be easily and readily available so we all can make an informed decision. 

For me, a young and healthy person who keeps tabs on my health, I'm just as much risk for a bad case of covid as with the vaccine. My risk vs. reward equation is simple.",2021-05-28T17:26:42Z
112,"When two different jabs send a perfectly healthy dad-son pair to the ICU, these clearly have issues: Preston Romney (Dad, Lung infarction + ""countless"" clots, Mod), Everest Romney (Son, Brain clots, Pfi) of Utah. Source: Mom, Cherie Romney (Lawyer). Genetic disposition? not impossible. But per that logic, if anyone in the family has issues, the entire family must be auto exempted from these shots, deal? 

The ACE2 involvement makes these pokes literal vasoconstrictors that occasionally give clots; the reason why not everyone gets clots depends on the distribution of the injected material and that's where the luck factor comes in. Sadly, I'm hearing about lots of migraines. That sounds like microvascular issues. So I think there are a LOT of people experiencing negative issues. My only Q is - why are they still in use? And why are they still being advocated by these ""vocal"" docs and scientists? I hope the public knows that not all docs/scientists think alike. Not at all. But the fear of speaking against the party line = real.",2021-05-28T17:24:57Z
113,"Years ago, after I did 4 vaccines on the same day (Typhoid/Hep A/ Tetanus and Dyphteritis) I happily cycled back home (Nobody told me NOT to exercise). Well about 3 weeks later I started having weird symptoms. Had shortness of breath, tachycardia, easily fainting when changing position i.e from sitting to standing etc. And this lasted for about a month. I went to see a cardiologist , I took measurements of my blood circulation pressure for 24 hours etc. Nothing suspicious was ever found. It ceased the way it started, suddenly. I had a relapse a few weeks later. Then it's been back to normal. I am now wondering if these could have been possible side effects of vaccination and I am feeling puzzled and worried.",2021-05-28T17:19:42Z
114,"Window Puppy.   My hero my hero.  I love window puppy. She is a fabulous lady named Winston since Dr John has gender identity confusion. 👧 This girl is a Dr.s best friend even if that Dr can't tell the 🐕 diff between girlie- parts and the male- ego- centered- name -giving crisis. 
  Keep up doc.  🚑
  M. Elgin Illinois. 🇺🇸",2021-05-28T17:15:34Z
115,In my State in the US they are sending doses to other States because of low participation in the shot and now they are talking about boosters?? Only 38% got it in my State and the incidence rate is in the hundreds and deaths in the single digits.. With a 99.6 survival rate why take it.. not me!!,2021-05-28T16:30:18Z
116,"Once the kinks are ironed out, they should go for mass inoculation.",2021-05-28T16:25:53Z
117,"Imo, soon into the fall, the more virulent variants will force Ivermectin + combinations to be offered. I have my stash of Ivermectin horse paste, Quercetin, C,D, zinc. But no jab for me! 🇨🇦",2021-05-28T16:17:34Z
118,"Either the vaccines are safe or not according to UK Column news 1143 people in the UK have been killed and over 800,000 have had a reaction, why would the CON party GOV allow big pharma to escape liability ? Anyone who recommends any of these vaccine must be held responsible for the outcome?",2021-05-28T15:56:12Z
119,My Father passed shortly after getting the second Moderna. He had pre existing conditions but not a doubt in my mind that damn vaccine played a part in his death 4-19-21.,2021-05-28T15:55:05Z
120,Most people have a better chance gettin hit by lightning then dyin of covid.,2021-05-28T15:32:59Z
121,Good man John!,2021-05-28T15:20:55Z
122,https://www.msn.com/en-us/health/medical/fact-check-have-966-people-died-after-receiving-the-covid-vaccine/ar-BB1en6bL,2021-05-28T14:31:40Z
123,https://www.instagram.com/tv/CPYr89MD6iT/?utm_medium=copy_link,2021-05-28T14:12:31Z
