,comments,dateStamp
98,I don ’ t get it how people down play one death ? People from this so why down play one death ?,2021-05-28T18:08:53Z
99,"It ' s sad when so much FACTUAL ( aka DATA ) is being hidden from us . You have to hunt down information . It should be easily and readily available so we all can make an informed decision . For me , a young and healthy person who on my health , I ' m just as much risk for a bad case of covid as with the vaccine . My risk . reward equation is simple .",2021-05-28T17:26:42Z
100,"When two different send a perfectly healthy dad - son pair to the , these clearly have : ( Dad , Lung infarction + "" countless "" , ), ( Son , Brain , ) of . Source : , ( Lawyer ). Genetic disposition ? not impossible . But per that logic , if anyone in the family , the entire family must be auto from these , deal ? The ACE2 involvement these literal that occasionally give ; the reason why not everyone on the distribution of the material and that ' s where the luck factor comes in . Sadly , I ' m hearing about lots of . That like . So I think there are a LOT of people negative . My only Q is - why are they still in use ? And why are they still being by these "" vocal "" and ? I hope the public that not all / think alike . Not at all . But the fear of speaking against the party line = real .",2021-05-28T17:24:57Z
101,"ago , after I did 4 on the same day ( Typhoid / Hep A / Tetanus and ) I happily back home ( Nobody told me NOT to exercise ). Well about 3 later I weird . Had shortness of breath , tachycardia , easily fainting when position i . e from sitting to standing . And this for about a month . I went to see a cardiologist , I took of my blood circulation pressure for 24 . Nothing suspicious was ever found . It the way it , suddenly . I had a relapse a few later . Then it ' s been back to normal . I am now wondering if these could have been possible side effects of vaccination and I am feeling puzzled and worried .",2021-05-28T17:19:42Z
102,Window Puppy . My hero my hero . I love window puppy . She is a fabulous lady since gender identity confusion . 👧 This girl is a . s best friend even if that can ' t tell the 🐕 between girlie - and the male - ego - centered - name - giving crisis . Keep up doc . 🚑 M . . 🇺🇸,2021-05-28T17:15:34Z
103,In my State in the US they are sending to other because of low participation in the shot and now they are talking about ?? Only 38 % got it in my State and the incidence rate is in the and in the single .. With a 99 . 6 survival rate why take it .. not me !!,2021-05-28T16:30:18Z
104,"Once the are out , they should go for mass inoculation .",2021-05-28T16:25:53Z
105,", soon into the fall , the more virulent will force + to be . I have my stash of horse paste , Quercetin , C , D , zinc . But no jab for me ! 🇨🇦",2021-05-28T16:17:34Z
106,"Either the are safe or not according to Column news 1143 people in the have been and over 800 , 000 have had a reaction , why would the CON party allow big to escape liability ? Anyone who any of these vaccine must be responsible for the outcome ?",2021-05-28T15:56:12Z
107,My Father shortly after getting the second . He had but not a doubt in my mind that damn vaccine a part in his death 4 - 19 - 21 .,2021-05-28T15:55:05Z
108,Most people have a better chance hit by lightning then of covid .,2021-05-28T15:32:59Z
109,Good man !,2021-05-28T15:20:55Z
110,:// . . / en - us / health / medical / fact - check - have - 966 - people - - after - - the - covid - vaccine / ar - BB1en6bL,2021-05-28T14:31:40Z
111,:// . . / / CPYr89MD6iT /? utm_medium = copy_link,2021-05-28T14:12:31Z
112,"Let ' s see no prevention , ' t remove societal and a potential of frequent rare effects . I would say it ' s pretty self explanatory",2021-05-28T14:04:25Z
113,Breathing can help get you ’ re breathing under control when you are or out of control when you have infection . # 🙏🏻,2021-05-28T13:38:33Z
114,!,2021-05-28T13:26:53Z
115,"These are all experimental , not backed by science , medicine or the government . There is no legal recourse for death or injury and they are excusing and under injury and death from this gene therapy . We still don ' t know the long term effects . I rather keep and boost my natural immune system than replace it with a one .",2021-05-28T13:08:22Z
116,Two in their 40 ' s got it and they from a heart attack a week later with no prior health . I personally know more people who have and side effects after getting the shot than the virus .,2021-05-28T12:57:16Z
117,My nervous level always when someone to do lots of ‘ . It ’ s like they ’ re trying to cover up something .,2021-05-28T12:48:18Z
118,"35 from U . K . had first dose last week . Since then I have had a strange nerve swelling or pressure like sensation around my body . It ’ s mostly not painful but sometimes it like a short sharp light pain , similar to cramp . I ’ m 90 percent sure it ’ s a side effect to the shot . I ’ never felt this before . My had no and it could be a immunological response . I wish I never had the vaccine , we are all rushing to get our shot and have rushed and the shot to get the pandemic over and life moving .",2021-05-28T12:39:20Z
119,Always too much . It ' s experimental and the doctor does not explain anything about the you may face to after the vaccination . You even don ' t see a doctor at all . You die from Covid y after you die from everything but . Weird,2021-05-28T12:38:00Z
120,"Over 12 , 000 and and over 1 million in the and in the . These are the adverse report for the US and . It is only a tiny fraction is . Over 12 thousand in only a few . And you still don ' t know the long term effects . Plus we have a cure with . Why is this vaccine worth the risk . There are that believe this vaccine is . It is so unethical to push these .",2021-05-28T12:30:32Z
121,As long as is around thats the road i will take .,2021-05-28T10:40:27Z
122,"This is very interesting as my husband had tachycardia a couple of days after his first vaccination . He from vasculitis ( an auto - immune disease ) and at the time was on a lot of strong medication . The cardiologist ' s verdict was that it was due to his anaemia . However , he had not had it before the vaccination and had trouble with anaemia for . He declined the 2nd vaccination , but obviously this is a worry as he is not as well from Covid 19 . Hopefully he can now discuss this at his next cardiology appointment and maybe get an alternative vaccination . Thank you",2021-05-28T10:16:02Z
123,"Black triangle , gene therapy , emergency use , TRIAL , yellow card ✔️✔️✔️✔️✔️✔️ it ’ s a conspiracy theory that this won ’ t harm you , oh and this opinion you a troll !",2021-05-28T09:53:34Z
124,Might explain the tachycardia with just standing and when walking . also have . 2 it as is usual in US,2021-05-28T09:45:11Z
125,In many more dying after vaccination ..,2021-05-28T09:40:58Z
126,"How about doing a video on the adverse on the yellow card system ? These are quite extensive . Over 1100 and many other serious , blindness and spontaneous abortion .",2021-05-28T08:50:16Z
127,Thank you for this information . I just checked the and as of now they still don ' t mention this as a possible complication . This important enough to warrant a mention . :// . . / / 2019 - / / expect / after .,2021-05-28T08:30:33Z
128,"Strange how this clown can spout and support the experimental jab when of and are , type Covid truth , vaccine truth into , rumble , or .",2021-05-28T07:54:14Z
129,"Do not recommend the based vaccine for younger . A researcher discovered a possible cause for the blood associated with this vaccine . This is a based vaccine that the cell nucleus , the is then subject to splicing before being into the spike protein in the cytoplasm . Aberrant splicing can result in a truncated spike protein that is not anchored to the cell membrane but is and soluble . The soluble spike protein can circulate and bind to the ACE2 on endothelial lining blood . Subsequent binding of to these spike can illicit an immune response and cause blood . This particular mechanism is not applicable to the vaccine which does not enter the nucleus and is not subject to splicing . Though the vaccine may have its own set of as here .",2021-05-28T07:50:08Z
130,"All side effects will be grossly under , and then there are the mid to and long term side effects which no one any idea what they might be for a long time yet .. Again they will be grossly under and probably blamed on something else too .",2021-05-28T07:31:44Z
131,"A 70 year old friend had the vaccine . Two later he is in with massive blood on both . He was otherwise fit and healthy , chairman of various community and , every day .",2021-05-28T07:10:14Z
132,"Timely , excellent explanation .",2021-05-28T07:06:13Z
133,The drug are like “ Nothing to see here . Please go on about your business . Nothing to see here .”,2021-05-28T06:50:34Z
134,I ’ m all for people who are eager to take this . Go ahead . Your body your choice . But they want to force everybody to take the and punish them if they don ’ t . You have no right to disagree or be cautious .,2021-05-28T06:44:51Z
135,"Play stupid win stupid . university study 50 - 65 have a 1 in 19 million chance of dying from covid , and then a 1 in 250 , 000 chance of a blood clot issue from any whack - sin - e . Research people it ' s not that hard",2021-05-28T05:05:02Z
136,I ' m still not taking this vaccine i don ' t care if the Pastor from my Church said its safe it a virus and vaccine made by men for the purpose of the population with substance as,2021-05-28T04:23:25Z
137,"Why you people believe to even about this vaccination . THEY don ' t know about this flu . China did this for reduction of people and economic stealing from all . When you going to . He , she they don ' t know even why you are seek ! ! ,!",2021-05-28T04:09:05Z
138,"12 , 24 , 36 , 48 , 60 , 72 , 84 , Not from young people :)",2021-05-28T04:03:39Z
139,So that ' s why my mate who had fitted and then a month later had the jab and now he ' s taken a turn for the worse,2021-05-28T04:03:24Z
140,"I got both of and had no so far . I hate to say I the day after the shot and the following days . I ' t know we were not to . Anyway I felt no . There are too many , but apparently due to all the the virus is not as big a threat . You should be with taking D and and wearing a mask until herd immunity is which should be soon . My .",2021-05-28T03:54:38Z
141,My son blackout in school yesterday and was unresponsive . He Had an and blood work done and he inflammation around his heart . Please monitor your child carefully .,2021-05-29T14:35:53Z
